id	hc1_2	hc1_4	hc2_15	hc2_17	hc3_1	hc3_5	hc3_7	hc3_10	hc3_11	ss2_9	ss2_14	ss2_18	ss3_3	ss3_14	ss3_15	ss3_16	ss3_20	ss5_18
PC1	-0.169157009	-0.271757005	-0.071626776	-0.298667880	-0.256597468	-0.143120769	-0.318831783	-0.065071796	-0.125488142	 0.217164350	 0.243532694	 0.286774500	 0.372932794	 0.284005355	 0.008320234	 0.252509868	 0.037809434	 0.348617184
PC2	 0.32979333	-0.34897316	-0.08966038	-0.46065814	-0.26360918	 0.25833924	-0.31672402	 0.29433533	 0.01373902	-0.13668071	-0.05325667	-0.18692917	-0.18422417	-0.13343295	 0.25839268	-0.11857098	 0.04616455	-0.18623575
PC3	-0.0925416296	-0.2228580558	-0.0397213904	 0.1709509477	-0.1601116901	-0.0773359071	-0.1685526135	-0.1021351748	 0.8988541987	-0.0359391218	-0.0112504003	 0.0607321050	-0.0197498927	-0.0453763001	-0.1403021067	-0.0431228268	-0.0589178291	-0.0002393696
