"Quant_Varia"	"contig"	"start.bin"	"end.bin"	"Pst_Values"	"95 %_LowBoundCI"	"95 %_UpBoundCI"
"Contig58591_10000_20000"	"Contig58591"	"10000"	"20000"	0.0876721511952765	0.000855954132602807	0.838230743138866
"Contig60108_0_10000"	"Contig60108"	"0"	"10000"	0.177617014991986	0.000673171926942559	0.754223363184722
"Contig60949_0_6134"	"Contig60949"	"0"	"6134"	0.107319047555969	0.000469580534772694	0.823230826987074
"Contig61092_0_8628"	"Contig61092"	"0"	"8628"	0.0442490235339929	0.000486096760030446	0.770960929954247
"Contig61494_0_7631"	"Contig61494"	"0"	"7631"	0.364582899000234	0.00295607726144769	0.894362122087675
"Contig61792_0_4835"	"Contig61792"	"0"	"4835"	0.203617594079626	0.00108776254293532	0.771367699294999
"Contig61940_20000_30000"	"Contig61940"	"20000"	"30000"	0.0618675040005406	0.00047960516296979	0.823073018611089
"Contig6242_0_10000"	"Contig6242"	"0"	"10000"	0.0658388945076146	0.000552537425894261	0.769544348334418
"Contig62585_10000_17738"	"Contig62585"	"10000"	"17738"	0.0212641426546592	0.00157220740903924	0.785106149234862
"Contig62982_0_10000"	"Contig62982"	"0"	"10000"	0.527758686468727	0.00496195206998292	0.879635640188997
"Contig6311_10000_18376"	"Contig6311"	"10000"	"18376"	0.14651853833337	0.000883088357211339	0.839423034346242
"Contig63317_20000_22517"	"Contig63317"	"20000"	"22517"	0.280086503198113	0.0010920275248811	0.842856041875145
"Contig65553_0_6399"	"Contig65553"	"0"	"6399"	0.460338357445953	0.00222886779011222	0.916178787106391
"Contig6567_0_5607"	"Contig6567"	"0"	"5607"	0.635663492503764	0.0165104268741616	0.921225396910867
"Contig66193_20000_28551"	"Contig66193"	"20000"	"28551"	0.0499123800553256	0.000640869516522513	0.761796746771108
"Contig67233_0_10000"	"Contig67233"	"0"	"10000"	0.576602365591743	0.012959523868675	0.859055098439019
"Contig68111_0_10000"	"Contig68111"	"0"	"10000"	0.0479472956097576	0.00120156843577914	0.812873479695132
"Contig70740_0_2750"	"Contig70740"	"0"	"2750"	0.268080021588027	0.000576419988471604	0.892379697833453
"Contig7105_0_1558"	"Contig7105"	"0"	"1558"	0.246826756527949	0.000679114222967555	0.78975492341219
"Contig71466_0_4231"	"Contig71466"	"0"	"4231"	0.100233899956503	0.000637374269920025	0.796596828829977
