"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
7,3,7750.86673639763,"hc2_15","hc3_7"
7,6,9189.47800925751,"hc3_5","hc3_7"
7,7,0,"hc3_7","hc3_7"
7,16,16117.6544358743,"ss3_16","hc3_7"
7,1,10611.4433168611,"hc1_2","hc3_7"
7,11,16705.4420050409,"ss2_14","hc3_7"
7,9,10804.1595064527,"hc3_11","hc3_7"
7,15,13350.9653430459,"ss3_15","hc3_7"
7,5,6567.10819716077,"hc3_1","hc3_7"
7,13,16044.5616098199,"ss3_3","hc3_7"
7,2,8699.20697511542,"hc1_4","hc3_7"
7,14,16375.9025884132,"ss3_14","hc3_7"
7,10,17348.6041022676,"ss2_9","hc3_7"
7,8,10443.442990571,"hc3_10","hc3_7"
7,12,14868.1230198216,"ss2_18","hc3_7"
7,17,13837.9689213511,"ss3_20","hc3_7"
7,4,8785.5707209323,"hc2_17","hc3_7"
7,18,15293.3151910298,"ss5_18","hc3_7"
8,12,13497.2097367929,"ss2_18","hc3_10"
8,2,10736.4993679085,"hc1_4","hc3_10"
8,4,9408.60307997115,"hc2_17","hc3_10"
8,7,10443.442990571,"hc3_7","hc3_10"
8,18,14281.5043061173,"ss5_18","hc3_10"
8,13,15209.2567425607,"ss3_3","hc3_10"
8,14,14489.5650208192,"ss3_14","hc3_10"
8,16,14441.4982062767,"ss3_16","hc3_10"
8,10,15486.5010144109,"ss2_9","hc3_10"
8,3,10319.2924855461,"hc2_15","hc3_10"
8,1,8551.48117643604,"hc1_2","hc3_10"
8,15,12354.9849994094,"ss3_15","hc3_10"
8,6,7834.22917318133,"hc3_5","hc3_10"
8,8,0,"hc3_10","hc3_10"
8,5,10436.6424244254,"hc3_1","hc3_10"
8,11,14988.7303972967,"ss2_14","hc3_10"
8,17,11705.9871254448,"ss3_20","hc3_10"
8,9,10148.6794612916,"hc3_11","hc3_10"
9,6,9119.64398313638,"hc3_5","hc3_11"
9,4,10454.9020484144,"hc2_17","hc3_11"
9,9,0,"hc3_11","hc3_11"
9,11,14709.2790564263,"ss2_14","hc3_11"
9,7,10804.1595064527,"hc3_7","hc3_11"
9,14,14113.2258396729,"ss3_14","hc3_11"
9,17,12187.1479715132,"ss3_20","hc3_11"
9,10,15102.6135157083,"ss2_9","hc3_11"
9,15,11779.3731599347,"ss3_15","hc3_11"
9,8,10148.6794612916,"hc3_10","hc3_11"
9,3,11194.3201996935,"hc2_15","hc3_11"
9,12,13012.5168645969,"ss2_18","hc3_11"
9,1,9068.33735082158,"hc1_2","hc3_11"
9,18,13623.7095845884,"ss5_18","hc3_11"
9,13,14188.1950028962,"ss3_3","hc3_11"
9,16,13574.422790557,"ss3_16","hc3_11"
9,2,10026.7010522889,"hc1_4","hc3_11"
9,5,10554.4753354924,"hc3_1","hc3_11"
10,2,17346.8098643315,"hc1_4","ss2_9"
10,5,16222.8091764864,"hc3_1","ss2_9"
10,18,8899.32680722831,"ss5_18","ss2_9"
10,17,11387.5201824046,"ss3_20","ss2_9"
10,8,15486.5010144109,"hc3_10","ss2_9"
10,16,8682.16033439385,"ss3_16","ss2_9"
10,4,16400.9617471996,"hc2_17","ss2_9"
10,13,8413.87778423087,"ss3_3","ss2_9"
10,14,9119.60020140509,"ss3_14","ss2_9"
10,11,9317.55810046274,"ss2_14","ss2_9"
10,7,17348.6041022676,"hc3_7","ss2_9"
10,3,16995.5185959578,"hc2_15","ss2_9"
