"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
7,16,730731.606968644,"ss3_16","hc3_7"
7,1,769916.266615307,"hc1_2","hc3_7"
7,11,737344.693014246,"ss2_14","hc3_7"
7,9,802034.628104335,"hc3_11","hc3_7"
7,15,717536.404594166,"ss3_15","hc3_7"
7,5,792205.160677674,"hc3_1","hc3_7"
7,13,725916.295590208,"ss3_3","hc3_7"
7,2,759973.906313102,"hc1_4","hc3_7"
7,14,717720.454044494,"ss3_14","hc3_7"
7,10,768620.440156028,"ss2_9","hc3_7"
7,8,755035.500459873,"hc3_10","hc3_7"
7,12,887217.828873524,"ss2_18","hc3_7"
7,17,749562.681607481,"ss3_20","hc3_7"
7,4,711425.717463653,"hc2_17","hc3_7"
7,18,771312.820090296,"ss5_18","hc3_7"
8,12,890381.882496036,"ss2_18","hc3_10"
8,2,761658.404958276,"hc1_4","hc3_10"
8,4,695469.054129365,"hc2_17","hc3_10"
8,7,755035.500459873,"hc3_7","hc3_10"
8,18,761274.683610246,"ss5_18","hc3_10"
8,13,723431.753665259,"ss3_3","hc3_10"
8,14,703588.076811943,"ss3_14","hc3_10"
8,16,718089.335496727,"ss3_16","hc3_10"
8,10,759604.633196901,"ss2_9","hc3_10"
8,3,742497.217629431,"hc2_15","hc3_10"
8,1,714310.823596493,"hc1_2","hc3_10"
8,15,671282.03989374,"ss3_15","hc3_10"
8,6,751664.597420474,"hc3_5","hc3_10"
8,8,0,"hc3_10","hc3_10"
8,5,850602.983866931,"hc3_1","hc3_10"
8,11,698519.830423077,"ss2_14","hc3_10"
8,17,711032.037451929,"ss3_20","hc3_10"
8,9,808170.876507227,"hc3_11","hc3_10"
9,6,857808.851700284,"hc3_5","hc3_11"
9,4,791344.072577461,"hc2_17","hc3_11"
9,9,0,"hc3_11","hc3_11"
9,11,785703.408158179,"ss2_14","hc3_11"
9,7,802034.628104335,"hc3_7","hc3_11"
9,14,746074.212981729,"ss3_14","hc3_11"
9,17,772318.06364871,"ss3_20","hc3_11"
9,10,783897.332219844,"ss2_9","hc3_11"
